1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
100.0,102.23,104.25,107.77,110.49,113.96,116.78,121.0,128.38,137.0,145.94,155.57,167.76,181.15,199.85,219.43,223.86,213.62,194.49,189.19,180.56,177.97,189.13,201.2,210.27,222.17,234.77,250.92,264.12,279.95,314.68,371.63,391.35,417.43
100.45,102.97,104.07,108.01,111.11,114.13,117.09,121.87,128.92,136.84,146.95,156.5,168.82,182.54,201.31,219.85,223.88,212.25,194.76,188.4,178.96,178.52,190.38,202.05,211.91,222.34,236.05,252.65,264.69,281.8,317.4,377.2,394.3,422.86
100.48,102.81,104.38,108.36,110.93,114.54,117.55,122.27,129.49,137.89,147.73,157.49,169.36,183.87,203.35,220.72,224.77,210.41,192.42,188.13,177.0,179.97,192.23,202.58,212.51,223.92,237.42,253.45,265.52,282.23,321.94,381.53,395.84,423.15
100.33,102.56,105.02,108.69,111.2,114.8,117.76,122.82,130.12,138.83,148.6,158.33,170.42,185.4,205.16,221.13,224.82,208.07,191.24,188.44,177.44,180.89,193.16,203.24,213.26,225.1,239.21,254.13,266.77,282.62,326.81,386.47,398.1,424.51
100.38,102.58,105.24,109.04,111.35,115.06,118.2,123.3,130.88,139.4,149.25,159.39,171.33,187.14,206.84,221.67,223.69,205.77,191.11,188.37,177.04,181.92,194.7,203.65,214.52,226.06,240.35,255.36,268.0,281.55,332.04,389.88,401.01,424.65
100.5,102.51,105.61,109.23,111.73,115.16,118.25,124.09,131.49,140.36,149.98,160.4,172.14,189.07,208.61,221.67,222.81,204.44,191.05,186.42,177.46,182.69,195.91,204.68,215.35,227.29,241.24,256.43,268.94,284.6,338.06,390.64,403.33,424.66
100.54,102.86,105.67,109.35,112.25,115.56,118.55,124.42,132.22,141.1,150.81,161.42,173.41,190.6,210.71,221.53,221.74,202.53,190.46,185.26,177.8,183.09,197.0,205.52,216.35,228.47,242.56,257.47,269.97,288.62,343.33,388.85,406.81,425.21
100.37,103.32,106.05,109.61,112.54,115.56,119.0,124.94,133.02,141.64,151.53,162.45,174.69,191.98,212.22,222.12,220.73,200.47,190.17,185.08,177.35,184.37,197.58,206.32,216.83,229.57,244.13,258.79,271.07,293.66,347.48,387.67,409.97,0.0
100.61,103.71,106.45,109.69,112.78,115.86,119.15,125.73,133.4,142.49,152.31,163.45,176.1,193.48,214.18,222.06,219.84,198.64,189.94,183.29,178.36,185.03,198.54,206.51,217.86,230.83,245.25,259.2,272.67,298.42,351.13,388.73,413.13,0.0
100.91,104.03,106.65,109.96,112.83,115.97,119.77,126.26,134.2,143.29,153.26,164.58,177.13,194.94,215.37,222.31,217.99,197.0,190.33,183.57,177.44,185.93,199.12,207.61,219.09,232.07,246.21,260.13,274.03,303.08,355.78,389.41,414.74,0.0
101.41,104.28,106.98,110.19,113.06,116.28,120.16,127.09,134.76,144.17,153.74,165.54,178.52,196.71,216.77,222.99,216.54,193.49,190.94,182.98,178.17,186.82,199.16,208.72,220.14,233.08,247.91,261.74,275.75,306.78,360.83,389.83,416.73,0.0
101.89,104.21,107.51,110.19,113.54,116.64,120.55,127.67,135.43,145.02,154.72,166.74,180.0,198.45,218.06,223.07,215.42,192.97,189.18,181.63,178.7,187.76,200.37,209.97,221.12,234.5,249.0,262.51,278.05,310.99,366.26,390.61,417.67,0.0
